reactionID,dcid
bio/HMR_6587,bio/H
bio/HMR_6592,bio/H
bio/HMR_6595,bio/H
bio/HMR_7655,bio/H
bio/HMR_8813,bio/H
bio/HMR_8815,bio/H
bio/HMR_8822,bio/H
bio/HMR_8824,bio/H
bio/HMR_8835,bio/H
bio/HMR_3929,bio/H
bio/HMR_4336,bio/H
bio/HMR_9726,bio/H
bio/HMR_7908,bio/H
bio/HMR_7910,bio/H
bio/HMR_7912,bio/H
bio/HMR_8105,bio/H
bio/HMR_8106,bio/H
bio/HMR_8107,bio/H
bio/HMR_8108,bio/H
bio/HMR_8109,bio/H
bio/HMR_8110,bio/H
bio/HMR_7669,bio/H
bio/HMR_7670,bio/H
bio/HMR_7672,bio/H
bio/HMR_4160,bio/H
bio/HMR_4816,bio/H
bio/HMR_8740,bio/H
bio/HMR_8349,bio/H
bio/HMR_8624,bio/H
bio/HMR_8625,bio/H
bio/HMR_4744,bio/H
bio/HMR_4746,bio/H
bio/HMR_4758,bio/H
bio/HMR_6630,bio/H
bio/HMR_6631,bio/H
bio/HMR_6634,bio/H
bio/HMR_6636,bio/H
bio/HMR_6637,bio/H
bio/HMR_6646,bio/H
bio/HMR_6664,bio/H
bio/HMR_6675,bio/H
bio/HMR_6691,bio/H
bio/HMR_6693,bio/H
bio/HMR_6704,bio/H
bio/HMR_8699,bio/H
bio/HMR_6506,bio/H
bio/HMR_6509,bio/H
bio/HMR_4546,bio/H
bio/HMR_4547,bio/H
bio/HMR_4551,bio/H
bio/HMR_4555,bio/H
bio/HMR_4556,bio/H
bio/HMR_4558,bio/H
bio/HMR_4559,bio/H
bio/HMR_4560,bio/H
bio/HMR_4563,bio/H
bio/HMR_4564,bio/H
bio/HMR_4204,bio/H
bio/HMR_4207,bio/H
bio/HMR_4208,bio/H
bio/HMR_8613,bio/H
bio/HMR_4065,bio/H
bio/HMR_4066,bio/H
bio/HMR_4068,bio/H
bio/HMR_4069,bio/H
bio/HMR_4070,bio/H
bio/HMR_6460,bio/H
bio/HMR_6492,bio/H
bio/HMR_6496,bio/H
bio/HMR_6995,bio/H
bio/HMR_7003,bio/H
bio/HMR_7005,bio/H
bio/HMR_7006,bio/H
bio/HMR_7010,bio/H
bio/HMR_7013,bio/H
bio/HMR_7024,bio/H
bio/HMR_7035,bio/H
bio/HMR_7039,bio/H
bio/HMR_7046,bio/H
bio/HMR_7047,bio/H
bio/HMR_7070,bio/H
bio/HMR_7076,bio/H
bio/HMR_7094,bio/H
bio/HMR_7098,bio/H
bio/HMR_7100,bio/H
bio/HMR_7103,bio/H
bio/HMR_7688,bio/H
bio/HMR_6535,bio/H
bio/HMR_3955,bio/H
bio/HMR_4202,bio/H
bio/HMR_5127,bio/H
bio/HMR_5363,bio/H
bio/HMR_9466,bio/H
bio/HMR_9471,bio/H
bio/HMR_9474,bio/H
bio/HMR_9484,bio/H
bio/HMR_9487,bio/H
bio/HMR_9489,bio/H
bio/HMR_9490,bio/H
bio/HMR_9494,bio/H
bio/HMR_9497,bio/H
bio/HMR_9499,bio/H
bio/HMR_9502,bio/H
bio/HMR_9517,bio/H
bio/HMR_9525,bio/H
bio/HMR_9530,bio/H
bio/HMR_9534,bio/H
bio/HMR_9535,bio/H
bio/HMR_9536,bio/H
bio/HMR_9537,bio/H
bio/HMR_9540,bio/H
bio/HMR_9550,bio/H
bio/HMR_9551,bio/H
bio/HMR_9552,bio/H
bio/HMR_9807,bio/H
bio/HMR_9554,bio/H
bio/HMR_9555,bio/H
bio/HMR_9562,bio/H
bio/HMR_9563,bio/H
bio/HMR_9570,bio/H
bio/HMR_9573,bio/H
bio/HMR_9578,bio/H
bio/HMR_9582,bio/H
bio/HMR_9584,bio/H
bio/HMR_9798,bio/H
bio/HMR_0190,bio/H
bio/HMR_0194,bio/H
bio/HMR_0198,bio/H
bio/HMR_0202,bio/H
bio/HMR_0207,bio/H
bio/HMR_0211,bio/H
bio/HMR_0215,bio/H
bio/HMR_0224,bio/H
bio/HMR_0231,bio/H
bio/HMR_0235,bio/H
bio/HMR_0239,bio/H
bio/HMR_0243,bio/H
bio/HMR_0247,bio/H
bio/HMR_0253,bio/H
bio/HMR_0257,bio/H
bio/HMR_0261,bio/H
bio/HMR_0265,bio/H
bio/HMR_0269,bio/H
bio/HMR_0273,bio/H
bio/HMR_0277,bio/H
bio/HMR_0281,bio/H
bio/HMR_0287,bio/H
bio/HMR_0291,bio/H
bio/HMR_0295,bio/H
bio/HMR_0299,bio/H
bio/HMR_0303,bio/H
bio/HMR_0307,bio/H
bio/HMR_0311,bio/H
bio/HMR_0317,bio/H
bio/HMR_0321,bio/H
bio/HMR_0325,bio/H
bio/HMR_0329,bio/H
bio/HMR_0335,bio/H
bio/HMR_0339,bio/H
bio/HMR_0343,bio/H
bio/HMR_0347,bio/H
bio/HMR_0351,bio/H
bio/HMR_0355,bio/H
bio/HMR_0359,bio/H
bio/HMR_0363,bio/H
bio/HMR_0367,bio/H
bio/HMR_0371,bio/H
bio/HMR_0375,bio/H
bio/HMR_0379,bio/H
bio/HMR_0383,bio/H
bio/HMR_0387,bio/H
bio/HMR_0391,bio/H
bio/HMR_0395,bio/H
bio/HMR_0399,bio/H
bio/HMR_0403,bio/H
bio/HMR_0407,bio/H
bio/HMR_0411,bio/H
bio/HMR_0415,bio/H
