reactionID,dcid
bio/HMR_7620,bio/CHEMBL14249
bio/HMR_4494,bio/CHEMBL14249
bio/HMR_4524,bio/CHEMBL14249
bio/HMR_4528,bio/CHEMBL14249
bio/HMR_8366,bio/CHEMBL14249
bio/HMR_5130,bio/CHEMBL14249
bio/HMR_5131,bio/CHEMBL14249
bio/HMR_5132,bio/CHEMBL14249
bio/HMR_5133,bio/CHEMBL14249
bio/HMR_5134,bio/CHEMBL14249
bio/HMR_5135,bio/CHEMBL14249
bio/HMR_5136,bio/CHEMBL14249
bio/HMR_5137,bio/CHEMBL14249
bio/HMR_5138,bio/CHEMBL14249
bio/HMR_5139,bio/CHEMBL14249
bio/HMR_5140,bio/CHEMBL14249
bio/HMR_5141,bio/CHEMBL14249
bio/HMR_5142,bio/CHEMBL14249
bio/HMR_5143,bio/CHEMBL14249
bio/HMR_5145,bio/CHEMBL14249
bio/HMR_5146,bio/CHEMBL14249
bio/HMR_5147,bio/CHEMBL14249
bio/HMR_5148,bio/CHEMBL14249
bio/HMR_5149,bio/CHEMBL14249
bio/HMR_5150,bio/CHEMBL14249
bio/HMR_5151,bio/CHEMBL14249
bio/HMR_5152,bio/CHEMBL14249
bio/HMR_5153,bio/CHEMBL14249
bio/HMR_5154,bio/CHEMBL14249
bio/HMR_5155,bio/CHEMBL14249
bio/HMR_5156,bio/CHEMBL14249
bio/HMR_5157,bio/CHEMBL14249
bio/HMR_5158,bio/CHEMBL14249
bio/HMR_5159,bio/CHEMBL14249
bio/HMR_5160,bio/CHEMBL14249
bio/HMR_5161,bio/CHEMBL14249
bio/HMR_5162,bio/CHEMBL14249
bio/HMR_5163,bio/CHEMBL14249
bio/HMR_5164,bio/CHEMBL14249
bio/HMR_5165,bio/CHEMBL14249
bio/HMR_5166,bio/CHEMBL14249
bio/HMR_5167,bio/CHEMBL14249
bio/HMR_5168,bio/CHEMBL14249
bio/HMR_5169,bio/CHEMBL14249
bio/HMR_5170,bio/CHEMBL14249
bio/HMR_5171,bio/CHEMBL14249
bio/HMR_5172,bio/CHEMBL14249
bio/HMR_5173,bio/CHEMBL14249
bio/HMR_5174,bio/CHEMBL14249
bio/HMR_7617,bio/CHEMBL14249
bio/HMR_5258,bio/CHEMBL14249
bio/HMR_5260,bio/CHEMBL14249
bio/HMR_5262,bio/CHEMBL14249
bio/HMR_5264,bio/CHEMBL14249
bio/HMR_5266,bio/CHEMBL14249
bio/HMR_5268,bio/CHEMBL14249
bio/HMR_5269,bio/CHEMBL14249
bio/HMR_5270,bio/CHEMBL14249
bio/HMR_5271,bio/CHEMBL14249
bio/HMR_5273,bio/CHEMBL14249
bio/HMR_5275,bio/CHEMBL14249
bio/HMR_5277,bio/CHEMBL14249
bio/HMR_5279,bio/CHEMBL14249
bio/HMR_5281,bio/CHEMBL14249
bio/HMR_5283,bio/CHEMBL14249
bio/HMR_5288,bio/CHEMBL14249
bio/HMR_9817,bio/CHEMBL14249
bio/HMR_9818,bio/CHEMBL14249
