id,name,compartment,chemicalFormula,bigg.metabolite,chebi,chembl,kegg.compound,metanetx.chemical,hmdb,pubchem.compound,lipidmaps,dcid
m00798p,"""3-hydroxypristanoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C40H68N7O18P3S,,,,,MNXM36547,,,,bio/C40H68N7O18P3S
m00799m,"""3-hydroxypropionyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C24H36N7O18P3S,3hpcoa,"""CHEBI:27762""",,C05668,MNXM1263,,440753,,bio/C24H36N7O18P3S
m00800c,"""3-hydroxytetracosanoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C45H78N7O18P3S,,,,,MNXM163185,,25229585,,bio/C45H78N7O18P3S
m00800p,"""3-hydroxytetracosanoyl-CoA""",dcs:CellularCompartmentEnumPeroxisome,C45H78N7O18P3S,,,,,MNXM163185,,25229585,,bio/C45H78N7O18P3S
m00801p,"""3-hydroxy-THA-CoA""",dcs:CellularCompartmentEnumPeroxisome,C45H66N7O18P3S,,,,,MNXM31124,,53481432,LMFA07050067,bio/C45H66N7O18P3S
m00802c,"""3-hydroxytricosanoyl-CoA""",dcs:CellularCompartmentEnumCytosol,C44H76N7O18P3S,,,,,,,,,bio/C44H76N7O18P3S
m00803c,"""3-hydroxytridecanoyl-[ACP]""",dcs:CellularCompartmentEnumCytosol,C24H45N2O9PRS,,,,,,,,,bio/C24H45N2O9PRS
m00804m,"""3-hydroxytridecanoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C34H56N7O18P3S,,,,,,,,,bio/C34H56N7O18P3S
m00805c,"""3-hydroxyundecanoyl-[ACP]""",dcs:CellularCompartmentEnumCytosol,C22H41N2O9PRS,,,,,,,,,bio/C22H41N2O9PRS
m00806m,"""3-hydroxyundecanoyl-CoA""",dcs:CellularCompartmentEnumMitochondria,C32H52N7O18P3S,,,,,,,,,bio/C32H52N7O18P3S
m00807c,"""3-iodo-L-tyrosine""",dcs:CellularCompartmentEnumCytosol,C9H10INO3,3ityr__L,"""CHEBI:27847""",CHEMBL479789,C02515,MNXM666,,439744,,bio/CHEMBL479789
m00808c,"""3-isoLM1""",dcs:CellularCompartmentEnumCytosol,C56H96N3O31R,,,,G00047,MNXM9327,,,,bio/C56H96N3O31R
