id,compartment,metabolite_dcid
m00094r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM11427
m00094s,dcs:CellularCompartmentExtracellular,bio/MNXM11427
m00095c,dcs:CellularCompartmentCytosol,bio/MNXM3234
m00095m,dcs:CellularCompartmentMitochondria,bio/MNXM3234
m00095p,dcs:CellularCompartmentPeroxisome,bio/MNXM3234
m00095r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM3234
m00096c,dcs:CellularCompartmentCytosol,bio/MNXM92760
m00097s,dcs:CellularCompartmentExtracellular,bio/MNXM59390
m00098c,dcs:CellularCompartmentCytosol,bio/MNXM162637
m00098p,dcs:CellularCompartmentPeroxisome,bio/MNXM162637
m00098r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM162637
m00099m,dcs:CellularCompartmentMitochondria,bio/MNXM163970
m00099p,dcs:CellularCompartmentPeroxisome,bio/MNXM163970
m00100c,dcs:CellularCompartmentCytosol,bio/(5Z_8Z_11Z)-eicosatrienoylcarnitine
m00100m,dcs:CellularCompartmentMitochondria,bio/(5Z_8Z_11Z)-eicosatrienoylcarnitine
m00100r,dcs:CellularCompartmentEndoplasmicReticulum,bio/(5Z_8Z_11Z)-eicosatrienoylcarnitine
m00101c,dcs:CellularCompartmentCytosol,bio/MNXM47372
m00101m,dcs:CellularCompartmentMitochondria,bio/MNXM47372
m00101r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM47372
m00102c,dcs:CellularCompartmentCytosol,bio/MNXM9158
m00102m,dcs:CellularCompartmentMitochondria,bio/MNXM9158
m00102r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM9158
m00103c,dcs:CellularCompartmentCytosol,bio/MNXM1449
m00103m,dcs:CellularCompartmentMitochondria,bio/MNXM1449
m00103r,dcs:CellularCompartmentEndoplasmicReticulum,bio/MNXM1449
m00104c,dcs:CellularCompartmentCytosol,bio/MNXM8844
m00104l,dcs:CellularCompartmentLysosome,bio/MNXM8844
